District,Pincode
BHAGALPUR,853205
BHAGALPUR,853205
BARMER,344011
JODHPUR,342304
MOGA,142049
NIZAMABAD,503207
NIZAMABAD,503207
BEGUSARAI,851210
BEGUSARAI,851127
BEGUSARAI,851127
WEST GODAVARI,534239
WEST GODAVARI,534239
WEST GODAVARI,534239
WEST GODAVARI,534237
WEST GODAVARI,534237
WEST GODAVARI,534237
WEST GODAVARI,534247
WEST GODAVARI,534247
WEST GODAVARI,534247
WEST GODAVARI,534202
WEST GODAVARI,534202
WEST GODAVARI,534202
WEST GODAVARI,534243
WEST GODAVARI,534243
WEST GODAVARI,534243
WEST GODAVARI,534199
BEGUSARAI,848201
WEST GODAVARI,534134
SANGAREDDY,502293
SANGAREDDY,502284
MUNGER,813212
BEGUSARAI,851113
BEGUSARAI,851111
BEGUSARAI,851111
BEGUSARAI,851111
BEGUSARAI,851111
BEGUSARAI,851111
BEGUSARAI,851111
BEGUSARAI,851111
BEGUSARAI,851112
BEGUSARAI,851112
BEGUSARAI,851112
KAMAREDDY,503301
KAMAREDDY,503301
KAMAREDDY,503301
NIZAMABAD,503206
NIZAMABAD,503206
NIZAMABAD,503206
NIZAMABAD,503245
NIZAMABAD,503245
NIZAMABAD,503186
NIZAMABAD,503201
NIZAMABAD,503201
BIDAR,585447
BIDAR,585404
FARIDKOT,151214
KAMAREDDY,503187
KAMAREDDY,503187
KAMAREDDY,503187
KAMAREDDY,503101
KAMAREDDY,503101
KAMAREDDY,503306
KAMAREDDY,503123
KAMAREDDY,503123
KAMAREDDY,503114
KAMAREDDY,503114
KAMAREDDY,503102
KAMAREDDY,503102
KAMAREDDY,503102
KAMAREDDY,503145
KAMAREDDY,503112
KAMAREDDY,503112
KAMAREDDY,503124
KAMAREDDY,503124
KAMAREDDY,503309
KAMAREDDY,503309
KAMAREDDY,503309
KAMAREDDY,503110
KAMAREDDY,503144
KAMAREDDY,503144
KAMAREDDY,503144
KAMAREDDY,503144
KAMAREDDY,503122
KAMAREDDY,503122
KAMAREDDY,503310
KAMAREDDY,503110
KAMAREDDY,503110
KAMAREDDY,503144
KAMAREDDY,503145
KAMAREDDY,503122
KAMAREDDY,503122
KAMAREDDY,503122
KAMAREDDY,503120
KAMAREDDY,503120
NIZAMABAD,503235
KAMAREDDY,503321
KAMAREDDY,503321
NIZAMABAD,503185
NIZAMABAD,503185
NIZAMABAD,503230
NIZAMABAD,503230
NIZAMABAD,503202
NIZAMABAD,503246
NIZAMABAD,503246
NIZAMABAD,503246
KAMAREDDY,503305
KAMAREDDY,503305
KAMAREDDY,503305
NIZAMABAD,503207
NIZAMABAD,503207
KAMAREDDY,503309
KAMAREDDY,503301
NIZAMABAD,503245
NIZAMABAD,503245
KAMAREDDY,503122
KAMAREDDY,503122
KAMAREDDY,503122
KAMAREDDY,503122
KAMAREDDY,503120
NIZAMABAD,503235
NIZAMABAD,503235
KHAMMAM,507204
KHAMMAM,507204
KHAMMAM,507169
KHAMMAM,507169
KHAMMAM,507208
KHAMMAM,507208
KHAMMAM,507208
KHAMMAM,507002
KHAMMAM,507168
KHAMMAM,507003
KHAMMAM,507003
KHAMMAM,507003
KHAMMAM,507003
KHAMMAM,507158
KHAMMAM,507158
KHAMMAM,507158
KHAMMAM,507158
KHAMMAM,507209
KHAMMAM,507209
KHAMMAM,507209
KHAMMAM,507209
KHAMMAM,507209
KHAMMAM,507122
KHAMMAM,507122
KHAMMAM,507122
KHAMMAM,507204
KHAMMAM,507204
KHAMMAM,507169
KHAMMAM,507169
KHAMMAM,507208
BEGUSARAI,851112
BEGUSARAI,851120
BEGUSARAI,851120
BEGUSARAI,851120
BEGUSARAI,848204
BEGUSARAI,848204
BEGUSARAI,848204
BEGUSARAI,848204
BEGUSARAI,851204
BEGUSARAI,851211
BEGUSARAI,851211
BEGUSARAI,851211
BEGUSARAI,851211
BEGUSARAI,851211
MUNGER,813212
SUPAUL,847451
SUPAUL,847451
SUPAUL,847451
BEGUSARAI,851127
BEGUSARAI,851127
BEGUSARAI,851127
BEGUSARAI,851128
SIDDIPET,502114
WEST GODAVARI,534238
WEST GODAVARI,534240
WEST GODAVARI,534206
WEST GODAVARI,534210
Niwari,472445
Niwari,472445
Niwari,472445
KHAGARIA,851213
KHAGARIA,851214
KHAGARIA,851214
KHAGARIA,851214
KHAGARIA,851214
KHAGARIA,851201
KHAGARIA,851201
ANANTAPUR,515101
ANANTAPUR,515231
ANANTAPUR,515271
ANANTAPUR,515271
ANANTAPUR,515271
ANANTAPUR,515271
ANANTAPUR,515271
ANANTAPUR,515164
ANANTAPUR,515164
ANANTAPUR,515164
ANANTAPUR,515212
ANANTAPUR,515303
ANANTAPUR,515303
ANANTAPUR,515556
ANANTAPUR,515556
ANANTAPUR,515661
ANANTAPUR,515672
ANANTAPUR,515672
ANANTAPUR,515672
ANANTAPUR,515672
ANANTAPUR,515672
ANANTAPUR,515672
ANANTAPUR,515521
ANANTAPUR,515521
ANANTAPUR,515521
ANANTAPUR,515521
SOUTH SALMARA MANCACHAR,783135
BOKARO,827016
ANANTAPUR,515591
ANANTAPUR,515591
ANANTAPUR,515591
ANANTAPUR,515591
ANANTAPUR,515641
ANANTAPUR,515641
ANANTAPUR,515641
ANANTAPUR,515641
ANANTAPUR,515531
ANANTAPUR,515541
ANANTAPUR,515541
ANANTAPUR,515511
ANANTAPUR,515551
ANANTAPUR,515154
ANANTAPUR,515501
ANANTAPUR,515631
ANANTAPUR,515581
ANANTAPUR,515581
ANANTAPUR,515571
ANANTAPUR,515571
ANANTAPUR,515571
ANANTAPUR,515571
ANANTAPUR,515571
ANANTAPUR,515311
ANANTAPUR,515311
ANANTAPUR,515281
ANANTAPUR,515281
ANANTAPUR,515241
ANANTAPUR,515241
ANANTAPUR,515241
ANANTAPUR,515101
ANANTAPUR,515101
ANANTAPUR,515341
ANANTAPUR,515231
ANANTAPUR,515231
ANANTAPUR,515231
ANANTAPUR,515271
ANANTAPUR,515271
ANANTAPUR,515164
ANANTAPUR,515286
ANANTAPUR,515212
ANANTAPUR,515212
ANANTAPUR,515303
ANANTAPUR,515556
ANANTAPUR,515661
ANANTAPUR,515661
ANANTAPUR,515661
ANANTAPUR,515144
ANANTAPUR,515144
ANANTAPUR,515144
ANANTAPUR,515144
ANANTAPUR,515672
ANANTAPUR,515672
ANANTAPUR,515672
ANANTAPUR,515672
ANANTAPUR,515672
ANANTAPUR,515521
ANANTAPUR,515521
KARIMNAGAR,505498
KARIMNAGAR,505498
KARIMNAGAR,505129
KARIMNAGAR,505470
KARIMNAGAR,505470
KARIMNAGAR,505505
KARIMNAGAR,505505
KARIMNAGAR,505474
KARIMNAGAR,505474
KARIMNAGAR,505475
KARIMNAGAR,505475
KARIMNAGAR,505502
KARIMNAGAR,505502
KARIMNAGAR,505122
KARIMNAGAR,505122
KARIMNAGAR,505122
PEDDAPALLI,505153
PEDDAPALLI,505153
PEDDAPALLI,505153
PEDDAPALLI,505153
PEDDAPALLI,505162
PEDDAPALLI,505162
PEDDAPALLI,505162
PEDDAPALLI,505152
PEDDAPALLI,505152
PEDDAPALLI,505152
PEDDAPALLI,505514
PEDDAPALLI,505514
PEDDAPALLI,505187
PEDDAPALLI,505187
PEDDAPALLI,505187
PEDDAPALLI,505187
PEDDAPALLI,505212
PEDDAPALLI,505525
PEDDAPALLI,505525
PEDDAPALLI,505525
PEDDAPALLI,505525
PEDDAPALLI,505209
PEDDAPALLI,505188
KARIMNAGAR,505498
KARIMNAGAR,505498
KARIMNAGAR,505129
KARIMNAGAR,505490
KARIMNAGAR,505470
KARIMNAGAR,505470
KARIMNAGAR,505505
SIDDIPET,505472
KARIMNAGAR,505472
KARIMNAGAR,505474
KARIMNAGAR,505474
KARIMNAGAR,505101
KARIMNAGAR,505480
KARIMNAGAR,505475
KARIMNAGAR,505502
KARIMNAGAR,505502
KARIMNAGAR,505186
KARIMNAGAR,505122
KARIMNAGAR,505122
KARIMNAGAR,505122
KARIMNAGAR,505122
KARIMNAGAR,505498
KARIMNAGAR,505129
KARIMNAGAR,505129
KARIMNAGAR,505490
KARIMNAGAR,505470
CUTTACK,754031
CUTTACK,754031
CUTTACK,754031
CUTTACK,754031
CUTTACK,754028
CUTTACK,754028
CUTTACK,754027
CUTTACK,754027
CUTTACK,754037
CUTTACK,754037
CUTTACK,754037
CUTTACK,754037
CUTTACK,754022
CUTTACK,754022
CUTTACK,754022
CUTTACK,754022
CUTTACK,754290
CUTTACK,754290
PEDDAPALLI,505153
PEDDAPALLI,505153
PEDDAPALLI,505152
PEDDAPALLI,505187
PEDDAPALLI,505187
PEDDAPALLI,505212
PEDDAPALLI,505212
PEDDAPALLI,505212
WARANGAL URBAN,505497
WARANGAL URBAN,505497
WARANGAL URBAN,505102
WARANGAL URBAN,505102
WARANGAL URBAN,505471
WARANGAL URBAN,505476
WARANGAL URBAN,505497
WARANGAL URBAN,505498
WARANGAL URBAN,505102
WARANGAL URBAN,505102
WARANGAL URBAN,505102
ANANTAPUR,515521
ANANTAPUR,515521
ANANTAPUR,515591
ANANTAPUR,515591
ANANTAPUR,515641
ANANTAPUR,515641
ANANTAPUR,515531
ANANTAPUR,515531
ANANTAPUR,515133
ANANTAPUR,515133
ANANTAPUR,515159
ANANTAPUR,515159
ANANTAPUR,515159
ANANTAPUR,515541
ANANTAPUR,515651
ANANTAPUR,515651
ANANTAPUR,515511
ANANTAPUR,515511
KHAGARIA,851204
KHAGARIA,851204
KHAGARIA,851204
KHAGARIA,851204
KHAGARIA,851204
KHAGARIA,851204
KHAGARIA,851213
KHAGARIA,851214
KHAGARIA,851214
KHAGARIA,851214
KHAGARIA,851213
KHAGARIA,851213
KHAGARIA,851213
KHAGARIA,851214
KHAGARIA,851214
KHAGARIA,848201
WARANGAL URBAN,505471
WARANGAL URBAN,505101
WARANGAL URBAN,505101
WARANGAL URBAN,505476
WARANGAL URBAN,505476
LUDHIANA,141114
WARANGAL URBAN,505122
WARANGAL URBAN,505102
WARANGAL URBAN,505102
WARANGAL URBAN,505102
ANANTAPUR,515803
ANANTAPUR,515775
ANANTAPUR,515775
ANANTAPUR,515775
ANANTAPUR,515405
ANANTAPUR,515405
ANANTAPUR,515405
ANANTAPUR,515865
ANANTAPUR,515865
ANANTAPUR,515865
ANANTAPUR,515455
ANANTAPUR,515455
ANANTAPUR,515611
ANANTAPUR,515867
VISAKHAPATANAM,531173
VISAKHAPATANAM,531173
ANANTAPUR,515871
ANANTAPUR,515871
ANANTAPUR,515842
ANANTAPUR,515842
ANANTAPUR,515842
ANANTAPUR,515803
ANANTAPUR,515775
ANANTAPUR,515775
ANANTAPUR,515775
ANANTAPUR,515775
ANANTAPUR,515405
ANANTAPUR,515405
ANANTAPUR,515865
ANANTAPUR,515865
CHATRA,825103
RAMGARH,829143
AURANGABAD,824304
ANANTAPUR,515865
WARANGAL URBAN,505471
WARANGAL URBAN,505471
WARANGAL URBAN,505471
WARANGAL URBAN,505101
WARANGAL URBAN,505101
WARANGAL URBAN,505476
WARANGAL URBAN,505476
BHOJPUR,802204
BHOJPUR,802204
BHOJPUR,802204
BHOJPUR,802158
PEDDAPALLI,505525
PEDDAPALLI,505525
CUTTACK,754031
CUTTACK,754031
CUTTACK,754028
CUTTACK,754028
CUTTACK,754027
CUTTACK,754037
CUTTACK,754037
CUTTACK,754022
CUTTACK,754022
MEDCHAL MALKAJGIRI,501401
MEDCHAL MALKAJGIRI,501401
MEDCHAL MALKAJGIRI,501401
MEDCHAL MALKAJGIRI,500101
PRAKASAM,523264
PRAKASAM,523264
PRAKASAM,523263
PRAKASAM,523263
PRAKASAM,523263
SPSR NELLORE,524221
SPSR NELLORE,524221
SPSR NELLORE,524221
SPSR NELLORE,524240
SPSR NELLORE,524240
SPSR NELLORE,524152
SPSR NELLORE,524152
SPSR NELLORE,524152
SPSR NELLORE,524222
SPSR NELLORE,524236
PRAKASAM,523264
PRAKASAM,523264
PRAKASAM,523264
PRAKASAM,523263
PRAKASAM,523263
PRAKASAM,523262
SPSR NELLORE,524240
SPSR NELLORE,524223
SPSR NELLORE,524223
SPSR NELLORE,524223
SPSR NELLORE,524223
SPSR NELLORE,524223
SPSR NELLORE,524224
SPSR NELLORE,524224
SPSR NELLORE,524224
SPSR NELLORE,524239
RANGA REDDY,501503
RANGA REDDY,501503
RANGA REDDY,501503
VIKARABAD,501121
VIKARABAD,501121
VIKARABAD,501202
VIKARABAD,501202
VIKARABAD,501202
VIKARABAD,501202
VIKARABAD,501202
VIKARABAD,501202
VIKARABAD,501111
VIKARABAD,501111
VIKARABAD,501111
VIKARABAD,501142
VIKARABAD,501142
VIKARABAD,501501
VIKARABAD,501501
VIKARABAD,501501
VIKARABAD,501501
RANGA REDDY,501203
RANGA REDDY,501203
VIKARABAD,501203
RANGA REDDY,501203
RANGA REDDY,501203
VIKARABAD,501203
RANGA REDDY,501203
VIKARABAD,501141
VIKARABAD,501141
VIKARABAD,501141
VIKARABAD,501141
BHAGALPUR,853205
BHAGALPUR,813210
BHAGALPUR,813210
BANKA,813212
BANKA,813212
BANKA,813212
BHAGALPUR,813213
BANKA,813110
BANKA,813110
PALAMU,822123
VISAKHAPATANAM,531084
VISAKHAPATANAM,531114
VISAKHAPATANAM,531022
VISAKHAPATANAM,531022
PALAMU,822132
PALAMU,822132
AMRAVATI,444602
VISAKHAPATANAM,531126
VISAKHAPATANAM,531084
Y.S.R.,516329
Y.S.R.,516293
Y.S.R.,516293
Y.S.R.,516293
Y.S.R.,516321
VISAKHAPATANAM,531022
VISAKHAPATANAM,531022
VISAKHAPATANAM,531149
VISAKHAPATANAM,531149
VISAKHAPATANAM,531149
VISAKHAPATANAM,531022
VISAKHAPATANAM,531022
VISAKHAPATANAM,531022
VISAKHAPATANAM,531022
VIKARABAD,501144
VIKARABAD,501144
VIKARABAD,501144
VIKARABAD,501144
RANGA REDDY,501504
RANGA REDDY,501504
RANGA REDDY,501504
VIKARABAD,501102
VIKARABAD,501102
VIKARABAD,501102
SPSR NELLORE,524300
RANGA REDDY,501509
RANGA REDDY,501509
MEDCHAL MALKAJGIRI,501301
MEDCHAL MALKAJGIRI,501301
MEDCHAL MALKAJGIRI,501301
MEDCHAL MALKAJGIRI,501301
MEDCHAL MALKAJGIRI,500043
MEDCHAL MALKAJGIRI,500043
MEDCHAL MALKAJGIRI,500055
MEDCHAL MALKAJGIRI,500100
MEDCHAL MALKAJGIRI,501401
MEDCHAL MALKAJGIRI,501401
MEDCHAL MALKAJGIRI,501401
MEDCHAL MALKAJGIRI,500078
MEDCHAL MALKAJGIRI,500101
MEDCHAL MALKAJGIRI,500101
PRAKASAM,523264
PRAKASAM,523264
PRAKASAM,523263
PRAKASAM,523263
SPSR NELLORE,524142
SPSR NELLORE,524221
KHAGARIA,852161
KHAGARIA,852161
KHAGARIA,852161
KHAGARIA,852161
KHAGARIA,851201
KHAGARIA,851201
WEST GODAVARI,534208
WEST GODAVARI,534204
WEST GODAVARI,534207
WEST GODAVARI,534199
BEGUSARAI,848201
BEGUSARAI,848201
BEGUSARAI,848201
BEGUSARAI,851111
BEGUSARAI,851111
BEGUSARAI,851111
BEGUSARAI,851112
BEGUSARAI,851112
BEGUSARAI,851112
BEGUSARAI,851118
BEGUSARAI,851120
ANANTAPUR,515241
ANANTAPUR,515101
ANANTAPUR,515101
ANANTAPUR,515341
ANANTAPUR,515231
ANANTAPUR,515231
ANANTAPUR,515271
ANANTAPUR,515271
ANANTAPUR,515271
ANANTAPUR,515212
ANANTAPUR,515303
ANANTAPUR,515556
ANANTAPUR,515661
KARIMNAGAR,505505
KARIMNAGAR,505472
KARIMNAGAR,505472
SIDDIPET,505472
KARIMNAGAR,505474
KARIMNAGAR,505480
KARIMNAGAR,505480
KARIMNAGAR,505475
KARIMNAGAR,505475
KARIMNAGAR,505475
KARIMNAGAR,505502
KARIMNAGAR,505502
CUTTACK,754031
CUTTACK,754031
CUTTACK,754031
ANANTAPUR,515865
ANANTAPUR,515865
ANANTAPUR,515865
ANANTAPUR,515865
ANANTAPUR,515865
ANANTAPUR,515865
ANANTAPUR,515455
ANANTAPUR,515455
ANANTAPUR,515611
ANANTAPUR,515867
ANANTAPUR,515867
ANANTAPUR,515871
ANANTAPUR,515842
ANANTAPUR,515842
ANANTAPUR,515812
ANANTAPUR,515803
ANANTAPUR,515775
ANANTAPUR,515775
SPSR NELLORE,524240
SPSR NELLORE,524240
SPSR NELLORE,524240
SPSR NELLORE,524240
SPSR NELLORE,524152
SPSR NELLORE,524152
SPSR NELLORE,524222
SPSR NELLORE,524222
SPSR NELLORE,524236
HAILAKANDI,788152
HAILAKANDI,788152
HAILAKANDI,788152
HAILAKANDI,788152
HAILAKANDI,788163
HAILAKANDI,788163
HAILAKANDI,788163
HAILAKANDI,788165
KARIMGANJ,788734
KARIMGANJ,788734
KARIMGANJ,788736
KARIMGANJ,788152
KARIMGANJ,788737
KARIMGANJ,788734
KARIMGANJ,788734
KARIMGANJ,788736
KARIMGANJ,788736
KARIMGANJ,788737
KARIMGANJ,788737
KARIMGANJ,788166
KARIMGANJ,788166
KARIMGANJ,788166
KARIMGANJ,788735
KARIMGANJ,788156
KARIMGANJ,788156
ANANTAPUR,515661
EAST GODAVARI,533274
EAST GODAVARI,533253
EAST GODAVARI,533250
EAST GODAVARI,533247
EAST GODAVARI,533247
EAST GODAVARI,533229
EAST GODAVARI,533229
EAST GODAVARI,533248
EAST GODAVARI,533248
EAST GODAVARI,533238
EAST GODAVARI,533236
EAST GODAVARI,533236
EAST GODAVARI,533236
EAST GODAVARI,533251
EAST GODAVARI,533251
EAST GODAVARI,533251
EAST GODAVARI,533244
EAST GODAVARI,533249
EAST GODAVARI,533249
EAST GODAVARI,533249
KHAMMAM,507208
KHAMMAM,507208
KHAMMAM,507208
KHAMMAM,507208
KHAMMAM,507002
KHAMMAM,507003
KHAMMAM,507158
KHAMMAM,507158
KHAMMAM,507158
KHAMMAM,507158
KHAMMAM,507209
NIZAMABAD,503185
ANANTAPUR,515775
ANANTAPUR,515405
ANANTAPUR,515405
ANANTAPUR,515405
ANANTAPUR,515865
ANANTAPUR,515865
ANANTAPUR,515865
ANANTAPUR,515865
ANANTAPUR,515865
ANANTAPUR,515455
ANANTAPUR,515455
ANANTAPUR,515445
ANANTAPUR,515002
HAZARIBAGH,825405
HAZARIBAGH,825405
EAST GODAVARI,533290
CUTTACK,754028
CUTTACK,754028
CUTTACK,754028
CUTTACK,754025
CUTTACK,754025
CUTTACK,754025
ROHTAS,802204
ROHTAS,802205
CUTTACK,754290
ROHTAS,802204
BARGARH,768033
