OfficeName,Pincode
Sonihar BO,848201
Uradallapalem LWE B.O,534134
Pulkal B.O,502293
IIT HYDERABAD SO,502284
Dadri BO,813212
Gaura BO,851113
Chamtha BO,851111
Kaidrabad BO,851111
Lodiyahi BO,851111
Rani BO,851111
Rudauli BO,851111
Rupasbaj BO,851111
Samsipur Bhith BO,851111
Nonpur BO,851112
Pasopur BO,851112
Sahuri BO,851112
Ankole B.O,503301
Bomandevpalli B.O,503301
Nachapalli B.O,503301
Govur B.O,503206
Humnapur B.O,503206
Malkapoor B.O,503206
Lakshmikisan Farm B.O,503245
Mokanpalli B.O,503245
Pocharam B.O,503186
Old Varni B.O,503201
Jakhora B.O,503201
MANHALLI  S.O,585447
Aliabad B.O,585404
Golewala S.O,151214
Wajidnagar B.O,503187
Budmi B.O,503187
Galipur B.O,503187
Thippapur B.O,503101
Bhikno R.S. B.O,503101
Dhadgi B.O,503306
Faridpet B.O,503123
Sangameshwar B.O,503123
Gurjal B.O,503114
Pothangalkalan B.O,503114
Narsannapalli B.O,503102
Pondurthy B.O,503102
Anthampalli B.O,503102
Adloor B.O,503145
Chukkapur B.O,503112
Devanappli B.O,503112
Korpole B.O,503124
Perumalla B.O,503124
Shakarga B.O,503309
Tadgur B.O,503309
Manoor B.O,503309
Thimmakapalli B.O,503110
Gidda B.O,503144
Esaipet B.O,503144
Isrojiwadi B.O,503144
Somarampet B.O,503144
Kalyani B.O,503122
Rudraram B.O,503122
Godmegaon B.O,503310
Chinnamallareddy B.O,503110
Chitial B.O,503110
Moshampur B.O,503144
Padmajiwadi B.O,503145
Atmakur B.O,503122
Gundiwait B.O,503122
Yellutla B.O,503122
Kankal B.O,503120
Nandiwada B.O,503120
Pegdapalli B.O,503235
Nasrullabad B.O,503321
Thimmapuram B.O,503321
Mandarna B.O,503185
Pentakurd B.O,503185
Badsi B.O,503230
Boregaon B.O,503230
Kurnapalli B.O,503202
Kondur B.O,503246
Pothangal B.O,503246
Binola B.O,503246
Edgikalan B.O,503305
Gullabuzrug B.O,503305
Wajrakhandi B.O,503305
Sunkini B.O,503207
Domaledgi B.O,503207
Hangarga B.O,503309
Mailaram B.O,503301
Konepalli B.O,503245
Maddepalli B.O,503245
Bhavanipet B.O,503122
Bikkanur B.O,503122
Jangamaipalli B.O,503122
Masanipet B.O,503122
Demi B.O,503120
Kandakurthi B.O,503235
ARP Camp B.O,503235
Motamarri B.O,507204
Mustikuntla B.O,507204
Buddavaram B.O,507169
Kongara B.O,507169
Jagannadhapuram B.O,507208
Komatlagudem B.O,507208
Proddutur B.O,507208
Gopalapuram B.O,507002
Buradaraghavapur B.O,507168
Gudimalla B.O,507003
Kachirajugudem B.O,507003
Theerthala B.O,507003
Venkatayapalem B.O,507003
Chirumarri B.O,507158
Guvvalagudem` B.O,507158
Mudigonda B.O,507158
Vallapuram B.O,507158
Battulapalli B.O,507209
Chennoor B.O,507209
Pedakorukondi B.O,507209
Talluri Venkatapuram B.O,507209
Telgaram B.O,507209
Kamepalli B.O,507122
Madhavaram B.O,507122
Perupalli B.O,507122
Chinnabeeravalli,507204
Rayanapeta,507204
Mangapuram B.O,507169
Rayagudem B.O,507169
Ananthasagar B.O,507208
Tilrath BO,851112
Dahiya BO,851120
Suryapura BO,851120
Kavia BO,851120
Aijani BO,848204
Baraipura BO,848204
Dunhi BO,848204
Sihmachakka BO,848204
Bishanpur Ahok BO,851204
Ballia Bazar BO,851211
Bank BO,851211
Bari Ballia BO,851211
Bhagatpur BO,851211
Lakhminia Bazar BO,851211
Khabra BO,813212
KAMALPUR,847451
KUNAULI,847451
Dagmara,847451
Birpur BO,851127
Fazilpur BO,851127
Koria Haibatpur BO,851127
Agapur BO,851128
Venkatapur BO,502114
Andaluru B.O,534238
Nelapogula B.O,534240
Jakkaram B.O,534206
Kumudavalli B.O,534210
Kudar B.O,472445
Bhitari B.O,472445
Shaktibheron B.O,472445
Jhiktia BO,851213
Babu Bagicha BO,851214
Balha  BO,851214
Fango BO,851214
Thatha BO,851214
Kaithi BO,851201
Keshavnagar BO,851201
Venkatampalli B.O,515101
Gangampalli B.O,515231
Guddadahalli B.O,515271
Hottethimmanahalli B.O,515271
Konkallu B.O,515271
Tallikera B.O,515271
Thirumaladevarapalli B.O,515271
Duddebanda B.O,515164
Kurubavandlapalli B.O,515164
Munimadugu B.O,515164
Sasanakota B.O,515212
Cherlokodigepalli B.O,515303
Manur B.O,515303
Kassamudram B.O,515556
Pulikintapalli B.O,515556
Apprascheruvu B.O,515661
Badannapalli B.O,515672
Chigicherla B.O,515672
Nasanakota B.O,515672
Ravulacheruvu B.O,515672
Sangala B.O,515672
Subbaraopeta B.O,515672
Gutibailu B.O,515521
Jeenulakunta B.O,515521
Kamatampalle B.O,515521
Katakamvaripalli B.O,515521
Hatsingimari  S.O,783135
NDC B.S.CITY,827016
Kowlepalli B.O,515591
Muthyalacheruvu B.O,515591
Pulagampalli B.O,515591
Mundy Bazaar B.O,515591
Chennamanayani Kota B.O,515641
Dadalur B.O,515641
Elakuntla B.O,515641
Maruru B.O,515641
Nawabkota B.O,515531
Chippalamadugu B.O,515541
Lakkasamudram B.O,515541
Uppalapadu B.O,515511
Ubicherla B.O,515551
Gasikavaripalli B.O,515154
Chinnarayanipalli B.O,515501
Peddachigullarevu B.O,515631
Gowkanapalle B.O,515581
Kurlyreddivaripalli B.O,515581
Errakuntapalle B.O,515571
Gandhodivandlapalli B.O,515571
K.Mallireddipalle B.O,515571
Mundlavaripalli B.O,515571
Peddakadapalavaripalli B.O,515571
Hallikera B.O,515311
Karidasanahalli B.O,515311
Maddanakunta B.O,515281
Valasa B.O,515281
Kaganapalli B.O,515241
Mallepalli B.O,515241
Vadigepalli B.O,515241
Kuntimaddi B.O,515101
Nagasamudram B.O,515101
Thummalakunta B.O,515341
Jakkasamudram B.O,515231
Kammavaripalli B.O,515231
Kondapuram B.O,515231
Bommagondanahalli B.O,515271
Mutukuru B.O,515271
Venkatagiripalem B.O,515164
Nidraghatta B.O,515286
Malugur B.O,515212
Moda B.O,515212
Bullasamudram B.O,515303
Tummala B.O,515556
Ghntapuram B.O,515661
Musturu B.O,515661
Potlamarri B.O,515661
Buchayyagaripalli B.O,515144
Kesapuram B.O,515144
Mylasamudram B.O,515144
Narepalli B.O,515144
D.Cherlopalli B.O,515672
Darsimala B.O,515672
Mallakalva B.O,515672
Ramagiri B.O,515672
Tallimadugu B.O,515672
Dhaniyancheruvu B.O,515521
Katarupalle B.O,515521
Thumenapalli B.O,505498
Bornapalli B.O,505498
Kanaparthi B.O,505129
Muttaram B.O,505470
Metpalli B.O,505470
Vegurpalli B.O,505505
Devampalli B.O,505505
Mogalipalam B.O,505474
Rekonda B.O,505474
Rachapalli B.O,505475
Vilasagar B.O,505475
Reddipalli B.O,505502
Yelbak B.O,505502
Shayampet B.O,505122
Chelpur B.O,505122
Illanthakunta B.O,505122
Parpalli B.O,505153
Kishtampet B.O,505153
Mallial B.O,505153
Motlapalli B.O,505153
Madupalli B.O,505162
Kothapalli B.O,505162
Pegadapalli B.O,505162
Komera B.O,505152
Shanagonda B.O,505152
Pandilla B.O,505152
Pothiyal B.O,505514
Bramanpalli B.O,505514
Botlavanaparthy B.O,505187
Jiyaram B.O,505187
Ragned B.O,505187
Kanagarthy B.O,505187
Kalvacherla B.O,505212
Dhulkatta B.O,505525
Muppirithota B.O,505525
Kachapur B.O,505525
Sultanpur B.O,505525
Maidpalli B.O,505209
Perepalli B.O,505188
Erukulagudem B.O,505498
Godashal B.O,505498
Pothireddipalli B.O,505129
Kothaghat B.O,505490
Amudalapalli B.O,505470
Gaddapak B.O,505470
Pachnur B.O,505505
Madhuda B.O,505472
Ramachandrapuram B.O,505472
Ambalpur B.O,505474
Kondapalakala B.O,505474
Kandgal B.O,505101
Amangurthi B.O,505480
Vanthadupula B.O,505475
Deshaipalli B.O,505502
Ghanmukla B.O,505502
Chamanpalli B.O,505186
Madipalli B.O,505122
Sarsaid B.O,505122
Dharmaram B.O,505122
Kanagarthi B.O,505122
Pothireddipet B.O,505498
Korepalli B.O,505129
Valbhapur B.O,505129
Eklaspur B.O,505490
Rajapur B.O,505470
Gopapur B.O,754031
Ichhapur B.O,754031
Jhajia B.O,754031
Jodumuhan B.O,754031
Mangarajpur B.O,754028
Sankarpur B.O,754028
Kayalpada B.O,754027
Mancheswar B.O,754027
Champeswar B.O,754037
Ekdal B.O,754037
Godibandha B.O,754037
Padamal B.O,754037
Karanji B.O,754022
Kairapari B.O,754022
Safa B.O,754022
Uchapada B.O,754022
Bhera B.O,754290
Chasakhanda B.O,754290
Mirzampet B.O,505153
Tarpalli B.O,505153
Indurth B.O,505152
Isala Thakkallapalli B.O,505187
Palitham B.O,505187
Ratnapur B.O,505212
Adivarampet B.O,505212
Ladnapur B.O,505212
Kothapalli B.O,505497
Manikyapur B.O,505497
Deshrajpalli B.O,505102
Guniparthi B.O,505102
Mutharam B.O,505471
Veeranarayanpur B.O,505476
Koppur B.O,505497
Penchikalpet B.O,505498
Keshavapur B.O,505102
Buttareddy Gudem B.O,505102
Vangapalli B.O,505102
Malamidipalli B.O,515521
N.P.Kunta B.O,515521
Bommireddipalli B.O,515591
K.Brahmanapalli B.O,515591
Narasampalli B.O,515641
Thogarakunta B.O,515641
Dabburivaripalli B.O,515531
Donnikota B.O,515531
Jagarajupalli B.O,515133
Locherla B.O,515133
Elukuntla B.O,515159
Jonnalakothapalli B.O,515159
Nallacherlopalli B.O,515159
Kondaguttapalli B.O,515541
Pothulanagepalli B.O,515651
Veldurthi B.O,515651
Gandlavandlapalli B.O,515511
Marthadu B.O,515511
Bhadas BO,851204
Bishanpur Dumri BO,851204
Durgapur BO,851204
Jahangir Tola BO,851204
Jalkaura BO,851204
Labhgaon BO,851204
Pakrail BO,851213
Rohiyar BO,851214
Sansarpur BO,851214
Siswa BO,851214
Madarpur BO,851213
Patel Nagar Bharra BO,851213
Samaspur BO,851213
Amni BO,851214
Saidpur BO,851214
Sumbha BO,848201
Yerrapalli B.O,505471
Kannur B.O,505101
Bhimpalli B.O,505101
Damera B.O,505476
Suraram B.O,505476
BALION BO,141114
Gunded B.O,505122
Timmapur B.O,505102
Nerella B.O,505102
Shanigaram B.O,505102
N.Narsapuram B.O,515803
Anumpalli B.O,515775
Devarapalli B.O,515775
Vankarajukalva B.O,515775
Dimmagudi B.O,515405
Lachumpalli B.O,515405
Ramarajupalli B.O,515405
Kalyam B.O,515865
Muradi Hanumapuram B.O,515865
R.B.Vanka B.O,515865
Krishtipadu B.O,515455
Nagarur B.O,515455
Chitrachedu B.O,515611
Bommakkapalli B.O,515867
Mutcherla B.O,531173
Kanamam B.O,531173
Unthakallu B.O,515871
Yerragunta B.O,515871
Chayapuram B.O,515842
Donekal B.O,515842
Gulapalyam B.O,515842
Thimmapuram B.O,515803
Eddulapalli B.O,515775
G.Kottala B.O,515775
Kalapuram B.O,515775
Katrimala B.O,515775
Mamadur B.O,515405
Miduthur B.O,515405
Lakshmi Bazar B.O,515865
Rayadurg Fort B.O,515865
KATIA BO,825103
BHANDRA BO,829143
NPGCL Aditi Nagar S.O,824304
Chadam B.O,515865
Kothakonda B.O,505471
Mallaram B.O,505471
Dharmaram B.O,505471
Bavopet B.O,505101
Dandepalli B.O,505101
Valbhapur B.O,505476
Gopalpur B.O,505476
Gaharuaon BO,802204
Jamorhi BO,802204
Jethwar Bhatt BO,802204
Babhaniaon BO,802158
Wadakapur B.O,505525
Julapalli B.O,505525
Khuntakata B.O,754031
Mugagahira B.O,754031
Dalijoda Berhampur B.O,754028
Gurudijhatia B.O,754028
Kakhadi B.O,754027
Adheigundi B.O,754037
Rusipada B.O,754037
Bainchuan B.O,754022
Bhatimunda B.O,754022
Dabirpur B.O,501401
Girmapur B.O,501401
Gowdavalli B.O,501401
Lalgadi Malakpet B.O,500101
Mannepalli B.O,523264
Sivarampuram B.O,523264
Dhenuvakonda B.O,523263
Pallamalli B.O,523263
Doddavaram B.O,523263
Thurupurompi Dodla B.O,524221
Kothapeta B.O,524221
Narasimhapuram B.O,524221
Chennuru B.O,524240
Lingalapadu B.O,524240
Kapparallatippa B.O,524152
Ulavapalle B.O,524152
Zuvvaladinne B.O,524152
Somalaregada B.O,524222
Thurpuboyamadugula B.O,524236
Kunkupadu B.O,523264
Lakkavaram B.O,523264
Nagambotlavaripalem B.O,523264
Mallavaram B.O,523263
Nekunambadu B.O,523263
Chekurapadu B.O,523262
Bodagudipadu B.O,524240
Gopannapalem Kandriga B.O,524223
Kammavaripalem B.O,524223
Kothapalli B.O,524223
Lingaraju Agraharam B.O,524223
Somavarappadu B.O,524223
Chinna Annalur B.O,524224
Jirravaripalem B.O,524224
Polampadu B.O,524224
Kunkuvaripalem B.O,524239
Kanmeta B.O,501503
Kowkunta B.O,501503
Malkapur B.O,501503
Nagawaram B.O,501121
Rasnam B.O,501121
Morangpalli B.O,501202
Patloor B.O,501202
Sirpura B.O,501202
Tekulapalli B.O,501202
Thummalapalli B.O,501202
Velchal B.O,501202
Chanchalpet B.O,501111
Chimaldari B.O,501111
Devarampalli B.O,501111
Adikcherla B.O,501142
Gazipur B.O,501142
Chengomal B.O,501501
Peda Umenthyal B.O,501501
Peta Madaram B.O,501501
Sultanpur B.O,501501
Maharajpet B.O,501203
Mokila B.O,501203
Mubarakpur B.O,501203
Parveda B.O,501203
Singapur B.O,501203
Yellakonda B.O,501203
Yelvawthy B.O,501203
Chengole B.O,501141
Gingurthi B.O,501141
Kokat B.O,501141
Narayanpur B.O,501141
Phulakia BO,853205
Agarpur BO,813210
Alinagear Rajpur BO,813210
Kumri BO,813212
Santadih BO,813212
Thilkulia BO,813212
Afzugaj BO,813213
Ahiro BO,813110
Chalna BO,813110
Tilo BO,822123
Golugonda BO,531084
Addasaram BO,531114
A Kothapalle B.O,531022
Anandapuram B.O,531022
Bhatwaliya BO,822132
Musikhap BO,822132
Bhatkuli S.O,444602
Dosalapadu BO,531126
Nallagonda BO,531084
Tangedupalle B.O,516329
C Kothapalle B.O,516293
Gangayapalle B.O,516293
Gotur B.O,516293
Obulareddypalle B.O,516321
Mushidipalli B.O,531022
K.J.Puram B.O,531022
Bondam B.O,531149
Burja B.O,531149
Chompi B.O,531149
Koruvada B.O,531022
Rama Yogi Agraharam B.O,531022
Varada B.O,531022
Gavarapalem B.O,531022
Agnoor B.O,501144
Bennur B.O,501144
Chennaram B.O,501144
Timmaipalli B.O,501144
Amdapur B.O,501504
Chilkur B.O,501504
Kanakamamidi B.O,501504
Anantagiripally B.O,501102
Atveli B.O,501102
Sivareddypet B.O,501102
Somasila Hill Colony S.O,524300
Tatiparthy B.O,501509
Toolkhurd B.O,501509
Ankushapur B.O,501301
Cherial B.O,501301
Rampallidiara B.O,501301
Rompally B.O,501301
Bowrampet B.O,500043
Gagillapur B.O,500043
Kutbullapur B.O,500055
Doolapalli B.O,500100
Nutankal B.O,501401
Pudur B.O,501401
Ravalkol B.O,501401
Devaryamjal B.O,500078
Kolthur B.O,500101
Kyasaram B.O,500101
Madhavaram B.O,523264
Rajanagaram B.O,523264
Chandrapadu B.O,523263
Ilapavuluru B.O,523263
Talluru B.O,524142
Isaka Damerla B.O,524221
Chorhli BO,852161
Mohinath Nagar BO,852161
Pansalwa BO,852161
Pirnagra Deorhi BO,852161
Borney BO,851201
Paura BO,851201
Ankoderu B.O,534208
China amiram B.O,534204
Pedagaruvu B.O,534207
Arthamuru B.O,534199
Bagras BO,848201
Deopura BO,848201
Samsa BO,848201
Fateha BO,851111
Manopur BO,851111
NSheotol BO,851111
Dhankaul BO,851112
MBabhangama BO,851112
Ninga BO,851112
Amarpur BO,851118
Neola BO,851120
Kallagiri B.O,515241
Nyamaddala B.O,515101
Puletipalli B.O,515101
Tekulodu B.O,515341
Karavulapalli B.O,515231
Vanavolu B.O,515231
M.Rayapuram B.O,515271
Mandalahalli B.O,515271
Phalaram B.O,515271
Srirangarajupalli B.O,515212
Cheepuleti B.O,515303
Chikirevulapalli B.O,515556
Malyavantham B.O,515661
Laxmipuram B.O,505505
Aknoor B.O,505472
Bommanapalli B.O,505472
Mohammadapur B.O,505472
Gangipalli B.O,505474
Raikal B.O,505480
Bommakal B.O,505480
Bijgirsharif B.O,505475
Bijnur B.O,505475
Thanugula B.O,505475
Kondapaka B.O,505502
Narsingapur B.O,505502
Ragadipada B.O,754031
Sankhameri B.O,754031
Sasang B.O,754031
Darga Kondaopuram B.O,515865
Gramadatla B.O,515865
Pulakurthy B.O,515865
R.Kothapalli B.O,515865
T.Veerapuram B.O,515865
Veerapuram B.O,515865
Puppala B.O,515455
Ravuludiki B.O,515455
Rachepalli B.O,515611
Netrapalli B.O,515867
Rangachedu B.O,515867
Nemakallu B.O,515871
Gadekal B.O,515842
Hanchanahal B.O,515842
Uravakonda (Bus Stand) B.O,515812
Nakkanadoddi B.O,515803
Gajarampalli B.O,515775
Khaderpeta B.O,515775
Katrayapadu B.O,524240
Manubolupadu B.O,524240
Rangasamudram B.O,524240
Vellupodu B.O,524240
Allimadugu B.O,524152
Kothapalli Kovurgunta B.O,524152
Appasamudram B.O,524222
Rachavaripalli B.O,524222
Tsoudepalli B.O,524236
Chandpur West B.O,788152
Hailakandi Bazar B.O,788152
Hailakandi East B.O,788152
Kanchanpur PT II B.O,788152
Chandrapur PT II B.O,788163
Lalamukh B.O,788163
Umednagar B.O,788163
